pair,net_frac,exit_type,mfe_frac,tp_mult
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004678039415578515,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004801303210871545,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005167753598461078,1.6
BTCUSDT,-0.02074785408396109,MAX_AGE,0.0009065049545184583,1.6
BTCUSDT,-0.021188193913585864,MAX_AGE,0.00020322438942795462,1.6
ETHUSDT,0.0046500000000000005,TP,0.006120969117897979,1.6
NEARUSDT,0.0009,BE_RAISED,0.003307951566595843,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004732828794924572,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005037907511712483,1.6
SOLUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.0045179722277588095,1.6
ETHUSDT,-0.007636945280502725,MAX_AGE,0.0011701886533868526,1.6
BTCUSDT,-0.012630863617867047,MAX_AGE,0.0012567690236955412,1.6
SOLUSDT,0.0009,BE_RAISED,0.003562536419981873,1.6
ETHUSDT,-0.010925591374778738,MAX_AGE,0.00064367322855766,1.6
ETHUSDT,-0.007118842022446565,MAX_AGE,0.0026920997843108774,1.6
BTCUSDT,-0.006963071834387819,MAX_AGE,0.0019587278326125327,1.6
ETHUSDT,0.0009,BE_RAISED,0.004135082913986009,1.6
BTCUSDT,-0.0007757026920501425,MAX_AGE,0.002903051686666721,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005033232340857583,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005030043844343157,1.6
ETHUSDT,-0.005001295877914654,MAX_AGE,0.0021899910482118417,1.6
ETHUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.00588107050371963,1.6
NEARUSDT,-0.0256,MAE_KILL,0.00280060882800605,1.6
NEARUSDT,0.0046500000000000005,TP,0.008261382694577359,1.6
NEARUSDT,0.0009,BE_RAISED,0.003987042113132296,1.6
BTCUSDT,0.0046500000000000005,TP,0.007774706015467054,1.6
BTCUSDT,0.0046500000000000005,TP,0.007330147964498652,1.6
BTCUSDT,0.0046500000000000005,TP,0.006435112483737888,1.6
BTCUSDT,0.0046500000000000005,TP,0.006652334337230009,1.6
BTCUSDT,0.0046500000000000005,TP,0.006321741624761991,1.6
ETHUSDT,0.0046500000000000005,TP,0.007105616998208923,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005304972459831875,1.6
SOLUSDT,0.0009,BE_RAISED,0.004310923692621712,1.6
SOLUSDT,0.0009,BE_RAISED,0.00408355161528629,1.6
