pair,ts,net_frac,exit_type,mfe_frac,tp_frac,tsp,fold
BTCUSDT,2026-08-19 15:01:00+00:00,0.004600000000000001,TP,0.006624335620796821,0.006,2026-08-19 15:01:00+00:00,f1
NEARUSDT,2026-08-19 15:02:00+00:00,0.0010000000000000002,FLOOR40,0.003975778335066334,0.006,2026-08-19 15:02:00+00:00,f1
ETHUSDT,2026-08-19 15:04:00+00:00,-0.0414,MAE_KILL,0.002210002618486529,0.006,2026-08-19 15:04:00+00:00,f1
ETHUSDT,2026-08-19 15:04:00+00:00,0.004600000000000001,TP,0.006776104728068946,0.006,2026-08-19 15:04:00+00:00,f1
BTCUSDT,2026-08-19 15:05:00+00:00,0.004600000000000001,TP,0.0077264737223994885,0.006,2026-08-19 15:05:00+00:00,f1
SOLUSDT,2026-08-19 15:05:00+00:00,0.004879527976102221,TP,0.0068466063572099715,0.00627952797610222,2026-08-19 15:05:00+00:00,f1
BTCUSDT,2026-08-19 15:14:00+00:00,-0.0414,MAE_KILL,0.0021069256988750576,0.006,2026-08-19 15:14:00+00:00,f1
BTCUSDT,2026-08-19 15:14:00+00:00,-0.0414,MAE_KILL,0.0015333427964866156,0.006,2026-08-19 15:14:00+00:00,f1
ETHUSDT,2026-08-19 15:18:00+00:00,0.0005000000000000001,BE_STOP,0.0035505430242271712,0.007012997345972673,2026-08-19 15:18:00+00:00,f1
BTCUSDT,2026-08-19 15:22:00+00:00,0.004600000000000001,TP,0.006821605012652039,0.006,2026-08-19 15:22:00+00:00,f1
BTCUSDT,2026-08-19 15:23:00+00:00,0.004600000000000001,TP,0.00744024776747433,0.006,2026-08-19 15:23:00+00:00,f1
ETHUSDT,2026-08-19 15:23:00+00:00,0.005121412963327725,TP,0.007655435707779431,0.006521412963327725,2026-08-19 15:23:00+00:00,f1
NEARUSDT,2026-08-19 15:23:00+00:00,0.004600000000000001,TP,0.00864535768645357,0.006,2026-08-19 15:23:00+00:00,f1
BTCUSDT,2026-08-19 15:24:00+00:00,-0.0414,MAE_KILL,0.00024198952619689486,0.006,2026-08-19 15:24:00+00:00,f1
ETHUSDT,2026-08-19 15:24:00+00:00,0.005419711528242839,TP,0.00872372714919118,0.006819711528242838,2026-08-19 15:24:00+00:00,f1
BTCUSDT,2026-08-19 15:26:00+00:00,-0.0414,MAE_KILL,0.0013247116554577882,0.006,2026-08-19 15:26:00+00:00,f1
BTCUSDT,2026-08-19 15:26:00+00:00,0.004600000000000001,TP,0.0066337042228972725,0.006,2026-08-19 15:26:00+00:00,f1
